"TIMESTAMP","RECORD","FC","FC_mass","FC_QC","FC_samples","LE","LE_QC","LE_samples","H","H_QC","H_samples","Bowen_ratio","TAU","TAU_QC","USTAR","TSTAR","TKE","TA_1_1_1","TA_SIGMA_1_1_1","RH_1_1_1","T_DP_1_1_1","e","e_sat","PA","PA_SIGMA","VPD","U","U_SIGMA","V","V_SIGMA","W","W_SIGMA","T_SONIC","T_SONIC_SIGMA","sonic_azimuth","WS","WS_RSLT","WD_SONIC","WD_SIGMA","WD","WS_MAX","CO2","CO2_SIGMA","CO2_density","CO2_density_SIGMA","H2O","H2O_SIGMA","H2O_density","H2O_density_SIGMA","CO2_sig_strgth_Min","H2O_sig_strgth_Min","sun_azimuth","sun_elevation","hour_angle","sun_declination","air_mass_coeff","daytime","FETCH_MAX","FETCH_90","FETCH_55","FETCH_40","UPWND_DIST_INTRST","FTPRNT_DIST_INTRST","FTPRNT_EQUATION"
"TS","RN","umolCO2 m-2 s-1","mg m-2 s-1","grade","samples","W m-2","grade","samples","W m-2","grade","samples","fraction","kg m-1 s-2","grade","m s-1","deg C","m2 s-2","deg C","deg C","%","deg C","kPa","kPa","kPa","kPa","hPa","m s-1","m s-1","m s-1","m s-1","m s-1","m s-1","deg C","deg C","decimal degrees","m s-1","m s-1","decimal degrees","decimal degrees","decimal degrees","m s-1","umolCO2 mol-1","umolCO2 mol-1","mg m-3","mg m-3","mmolH2O mol-1","mmolH2O mol-1","g m-3","g m-3","fraction","fraction","decimal degrees","decimal degrees","decimal degrees","decimal degrees","adimensional","fraction","m","m","m","m","m","%","authors"
"","","Smp","Smp","Smp","Tot","Smp","Smp","Tot","Smp","Smp","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Min","Min","Avg","Avg","Avg","Avg","Avg","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-05-21 01:00:00",18,2.377409,0.1046298,4,18000,1.078324,7,18000,-19.47832,3,18000,-18.06351,0.01997991,2,0.1380843,0.1333303,0.2792288,14.09687,0.3733959,51.35392,4.213314,0.8287461,1.614889,86.70022,0.006413263,7.861424,1.494981,0.4865909,0,0.5313317,0,0.1984275,14.97406,0.3712452,175,1.586353,1.494946,358.3459,19.44358,176.6541,3.44382,440.6267,1.305391,697.2371,2.546782,9.651009,0.07460201,6.251594,0.05263294,1.019594,1.024026,"NAN","NAN","NAN","NAN","NAN",0,21.38913,946.5137,101.9747,60.46328,264.413,75.50784,"KormannMeixner"
"2021-05-21 01:30:00",19,1.777035,0.07820732,3,18000,4.058609,3,18000,-24.69143,3,18000,-6.083718,0.03299634,1,0.1773134,0.1313982,0.2126594,13.58844,0.4094195,54.36871,4.553735,0.8487671,1.562498,86.68954,0.009871821,7.137311,1.712293,0.5095508,0,0.3425645,-1.862645E-09,0.2198326,14.48543,0.4050843,175,1.746348,1.712253,13.43399,11.31788,161.566,3.951555,436.7137,1.594053,692.0222,2.691128,9.887708,0.08333353,6.414002,0.06006643,1.019353,1.023785,"NAN","NAN","NAN","NAN","NAN",0,17.59181,662.7206,78.52541,47.42342,264.413,80.22733,"KormannMeixner"
"2021-05-21 02:00:00",20,1.713068,0.07539213,1,18000,1.605235,4,18000,-21.57715,1,18000,-13.44174,0.02130554,1,0.1423912,0.1427868,0.1802426,13.1845,0.3272726,57.22726,4.914008,0.8704082,1.521709,86.6841,0.005348567,6.513006,1.574017,0.4186271,0,0.3866348,-3.72529E-09,0.1890767,14.10323,0.3270611,175,1.623892,1.573872,30.1785,14.21604,144.8215,4.613981,433.6368,0.8976016,687.8996,2.054589,10.143,0.06940483,6.586767,0.0471384,1.019377,1.023803,"NAN","NAN","NAN","NAN","NAN",0,22.09504,985.3627,105.6679,62.59664,264.413,74.88145,"KormannMeixner"
"2021-05-21 02:30:00",21,1.181386,0.05199279,9,18000,2.241132,9,18000,-17.81808,9,18000,-7.950482,0.01389694,9,0.1149737,0.1459504,0.2333775,13.02031,0.4934272,58.73058,5.125741,0.8833513,1.505853,86.67828,0.004041504,6.225021,1.409923,0.4277585,0,0.498759,1.862645E-09,0.1871283,13.95228,0.4909177,175,1.505982,1.409831,359.1764,20.46691,175.8236,3.471127,432.3808,0.783756,686.1526,2.361931,10.29608,0.05781486,6.688599,0.04669452,1.019051,1.023479,"NAN","NAN","NAN","NAN","NAN",0,27.21586,1336.704,135.3819,79.31359,264.413,70.0883,"KormannMeixner"
"2021-05-21 03:00:00",22,0.6185778,0.02722361,9,18000,0.1400749,9,18000,-9.549385,9,18000,-68.17342,0.007240464,9,0.08289144,0.1082339,0.0621514,12.35655,0.2963023,61.79902,5.239484,0.8903661,1.441301,86.68436,0.003452703,5.509344,1.230571,0.2296377,0,0.2411533,4.656613E-10,0.1158206,13.29372,0.2969777,175,1.253477,1.230565,334.1351,10.95098,200.8649,2.499327,433.1698,0.6526646,688.9929,1.697441,10.37795,0.01046713,6.757326,0.01119,1.019058,1.023485,"NAN","NAN","NAN","NAN","NAN",0,38.97858,2069.559,200.1564,116.2003,264.413,61.72033,"KormannMeixner"
"2021-05-21 03:30:00",23,0.8691232,0.03825011,7,18000,-0.942922,7,18000,-7.211576,7,18000,7.648115,0.01227848,4,0.1078822,0.06272822,0.108712,11.95588,0.3408,63.8606,5.330551,0.8960314,1.403848,86.66415,0.009003154,5.078167,1.381877,0.3503859,0,0.286545,9.313226E-10,0.1120074,12.89793,0.3409231,175,1.413367,1.381835,9.816983,12.09861,165.183,2.38519,433.8504,0.7930513,690.8371,1.902778,10.44714,0.03947832,6.809887,0.0282759,1.019009,1.023453,"NAN","NAN","NAN","NAN","NAN",0,26.95521,1171.97,127.5516,75.72897,264.413,71.6089,"KormannMeixner"
"2021-05-21 04:00:00",24,1.842244,0.08107715,8,18000,-0.367923,8,18000,1.132774,8,18000,-3.078834,0.01438043,4,0.1168244,-0.009110293,0.1560209,12.26029,0.2498668,62.57199,5.327946,0.8958637,1.432135,86.6489,0.004312564,5.36271,0.8904076,0.1983687,0,0.5161866,4.656613E-10,0.07901361,13.20334,0.2500687,175,1.028793,0.8903835,12.43758,29.71011,162.5624,1.619443,436.3422,1.562937,693.9398,2.381806,10.44702,0.01119352,6.801342,0.01171291,1.018693,1.023134,"NAN","NAN","NAN","NAN","NAN",0,14.74521,216.3975,44.33447,29.71905,264.413,91.90405,"KormannMeixner"
"2021-05-21 04:30:00",25,-0.1144287,-0.005036007,9,18000,0.1543152,9,18000,-1.517888,9,18000,-9.836285,0.002102284,9,0.04462201,0.03189478,0.04948366,11.68239,0.534427,65.16891,5.356312,0.8976336,1.379171,86.65102,0.002972807,4.815377,0.4848077,0.2435748,0,0.1968565,1.862645E-09,0.02976838,12.62537,0.5352259,175,0.5307872,0.4846782,349.7656,23.87358,185.2344,0.9498635,433.9593,0.4444022,691.5553,1.239955,10.46762,0.01422387,6.828633,0.02074943,1.018523,1.022948,"NAN","NAN","NAN","NAN","NAN",0,23.25319,1085.71,113.3165,66.74073,264.413,73.51131,"KormannMeixner"
"2021-05-21 05:00:00",26,-0.2156586,-0.009491134,8,18000,-0.2206107,8,18000,1.584822,8,18000,-7.183797,0.007246647,7,0.08275741,-0.0179175,0.128405,11.05979,0.3337643,67.76151,5.330368,0.8960155,1.322998,86.64657,0.007783696,4.269829,0.400593,0.3681655,0,0.3446124,-9.313226E-10,0.05006505,11.99906,0.33361,175,0.6106141,0.4004357,46.29603,47.5221,128.704,1.180403,436.5454,1.605986,697.1745,2.1635,10.44909,0.01856354,6.83124,0.01930316,1.018597,1.023018,"NAN","NAN","NAN","NAN","NAN",0,7.155566,81.12025,19.3575,13.28574,264.413,97.62517,"KormannMeixner"
"2021-05-21 05:30:00",27,0.7427304,0.03268757,8,18000,-0.08817544,8,18000,-0.8676788,8,18000,9.840368,0.01242752,7,0.1084936,0.007499235,0.1880936,11.67876,0.1699128,64.74588,5.26875,0.8921812,1.378166,86.64467,0.005722196,4.859848,0.4206622,0.464879,0,0.3954261,2.910383E-11,0.06093328,12.61605,0.1693867,175,0.6910037,0.4206623,0.944753,50.66419,174.0552,1.510162,439.2066,1.48769,699.9178,2.604299,10.40414,0.01485105,6.787212,0.01339246,1.018489,1.022906,"NAN","NAN","NAN","NAN","NAN",0,4.397125,96.29449,15.80158,10.17231,264.413,96.05705,"KormannMeixner"
