"TOA5","CR6Series_2","CR6","15361","CR6.Std.10.02","CPU:W20058__CR6CP_EErDuoSi.CR6","35657","Time_Series"
"TIMESTAMP","RECORD","Ux","Uy","Uz","T_SONIC","diag_sonic","CO2","H2O","diag_irga","TA_1_1_1","T_cell","PA_cell","CO2_sig_strgth","H2O_sig_strgth","PA_diff","PA","pump_flow","sampling_regime"
"TS","RN","m s-1","m s-1","m s-1","deg C","adimensional","umolCO2 mol-1","mmolH2O mol-1","adimensional","deg C","deg C","kPa","fraction","fraction","kPa","kPa","L min-1","adimensional"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-05-22 13:49:36.4",1658089,-4.959322,-3.053495,-1.39385,20.96235,0,418.5306,7.006199,0,20.31079,24.7897,81.47787,1.010797,1.014964,-5.311516,86.78938,7.998333,1
"2021-05-22 13:49:36.5",1658090,-4.520032,-2.707366,-0.6589896,20.87367,0,418.4543,7.015517,0,20.22147,24.78894,81.479,1.010771,1.014966,-5.309746,86.78875,7.998333,1
"2021-05-22 13:49:36.6",1658091,-5.39442,-2.790452,-0.4610644,20.95816,0,418.3843,7.026865,0,20.30469,24.78964,81.4843,1.01079,1.014977,-5.300873,86.78517,7.99816,1
"2021-05-22 13:49:36.7",1658092,-7.46908,-2.135779,-0.7399526,21.183,0,418.4106,7.053558,0,20.52655,24.78894,81.4818,1.010776,1.014957,-5.292923,86.77473,7.998605,1
"2021-05-22 13:49:36.8",1658093,-5.791188,-4.714049,-0.3994417,20.96992,0,418.5108,7.046061,0,20.31467,24.78812,81.48301,1.010797,1.014952,-5.295395,86.7784,8.000272,1
"2021-05-22 13:49:36.9",1658094,-3.576662,-6.288023,-1.106612,21.02907,0,418.4233,7.045129,0,20.37375,24.78891,81.4853,1.010801,1.014978,-5.293663,86.77896,7.998305,1
"2021-05-22 13:49:37",1658095,-5.128898,-4.70048,0.1437447,20.97775,0,418.3777,7.046732,0,20.32236,24.78922,81.48457,1.010803,1.014965,-5.29409,86.77866,8.001861,1
"2021-05-22 13:49:37.1",1658096,-7.038059,-4.522529,0.1615715,20.9598,0,418.352,7.026571,0,20.30637,24.78891,81.48074,1.010792,1.014964,-5.296608,86.77735,7.998605,1
"2021-05-22 13:49:37.2",1658097,-5.388387,-5.349383,-0.7486569,20.92468,0,418.422,7.03246,0,20.27078,24.78775,81.48068,1.010807,1.014985,-5.300247,86.78093,8.000242,1
"2021-05-22 13:49:37.3",1658098,-6.450786,-4.680656,-0.1637653,21.1055,0,418.4634,7.04498,0,20.45004,24.78723,81.4789,1.010801,1.014984,-5.298073,86.77698,7.998489,1
